"Name","Address","City_State_ZIP","ZIP","Number_of_Sites","Url","House.district","Senate.district","full_address","lat","long","County"
"Farmington Estates","3308 Kehm Boulevard,","Park City, IL",60085,"225","https://www.mhvillage.com/parks/11674","59","30","3308 Kehm Boulevard, Park City, IL 60085",42.3490193,-87.8838158,"Lake County"
"Midway Estates","3308 Kehm Boulevard,","Park City, IL",60085,"198","https://www.mhvillage.com/parks/10808","59","30","3308 Kehm Boulevard, Park City, IL 60085",42.3490193,-87.8838158,"Lake County"
"Park City Manufactured Home Community","3418 Kehm Boulevard,","Park City, IL",60085,"641","https://www.mhvillage.com/parks/57237","59","30","3418 Kehm Boulevard, Park City, IL 60085",42.3493519,-87.8855247,"Lake County"
"Lake View Manufactured Home Community","38285 N Sheridan Rd,","Beach Park, IL",60087,"188","https://www.mhvillage.com/parks/10820","61","31","38285 N Sheridan Rd, Beach Park, IL 60087",42.4163633,-87.8220988,"Lake County"
"Kings Way Estates","38455 North Sheridan Road,","Beach Park, IL",60087,"361","https://www.mhvillage.com/parks/11356","61","31","38455 North Sheridan Road, Beach Park, IL 60087",42.419505,-87.825565,"Lake County"
"Pinecrest Mobile Home Park","37021 N Sheridan Rd,","Beach Park, IL",60087,"Not found","https://www.mhvillage.com/parks/10824","61","31","37021 N Sheridan Rd, Beach Park, IL 60087",42.3995068,-87.8281729,"Lake County"
"Whippletree Village","525 N. Mchenry Rd.,","Wheeling, IL",60090,"407","https://www.mhvillage.com/parks/10420","59","30","525 N. Mchenry Rd., Wheeling, IL 60090",42.1434541,-87.9353475,"Cook County"
"Fox Point","573 South Milwaukee Avenue,","Wheeling, IL",60090,"45","https://www.mhvillage.com/parks/10419","57","29","573 South Milwaukee Avenue, Wheeling, IL 60090",42.1304193,-87.9007158,"Cook County"
"Sunset Village","2450 Waukegan Road,","Northfield, IL",60093,"329","https://www.mhvillage.com/parks/10408","17","9","2450 Waukegan Road, Northfield, IL 60093",42.1001114,-87.7986735,"Cook County"
"Hollyhock Hill Mobile Home Park","1601 Sheridan Rd,","Winthrop Harbor, IL",60096,"Not found","https://www.mhvillage.com/parks/106900","61","31","1601 Sheridan Rd, Winthrop Harbor, IL 60096",42.4771625,-87.8240461,"Lake County"
"Beach Mobile Home Park","38703 North Sheridan Road,","Beach Park, IL",60099,"208","https://www.mhvillage.com/parks/10829","61","31","38703 North Sheridan Road, Beach Park, IL 60099",42.4239121,-87.8258009,"Lake County"
"Avalon Mobile Home Park","1639 Sheridan Road,","Zion, IL",60099,"31","https://www.mhvillage.com/parks/10828","61","31","1639 Sheridan Road, Zion, IL 60099",42.4397025,-87.8256055,"Lake County"
"Shoreline Terrace","38569 N Sheridan Rd,","Beach Park, IL",60099,"Not found","https://www.mhvillage.com/parks/105849","61","31","38569 N Sheridan Rd, Beach Park, IL 60099",42.4212049,-87.8258069,"Lake County"
"Cortland","300 South Somonauk Road,","Dekalb, IL",60115,"81","https://www.mhvillage.com/parks/10437","70","35","300 South Somonauk Road, Dekalb, IL 60115",41.914292,-88.688723,"DeKalb County"
"Southmoor Estates Manufactured Home Community","1032 South 7th Street,","Dekalb, IL",60115,"100","https://www.mhvillage.com/parks/10438","76","38","1032 South 7th Street, Dekalb, IL 60115",41.917241,-88.7480499,"DeKalb County"
"Old Oaks Estates","850 Villa Street,","Elgin, IL",60120,"264","https://www.mhvillage.com/parks/11676","43","22","850 Villa Street, Elgin, IL 60120",42.0210547,-88.2463837,"Cook County"
"Willow Lake Estates","161 West River Road,","Elgin, IL",60123,"623","https://www.mhvillage.com/parks/10688","66","33","161 West River Road, Elgin, IL 60123",42.0658284,-88.2832999,"Kane County"
"Bueche's Mobile Home Park","909 South Mclean Boulevard,","Elgin, IL",60123,"Not found","https://www.mhvillage.com/parks/36384","49","25","909 South Mclean Boulevard, Elgin, IL 60123",42.021246,-88.3128038,"Kane County"
"Forest View Manor Manufactured Home Park","100 Forest View Drive,","Genoa, IL",60135,"100","https://www.mhvillage.com/parks/10439","89","45","100 Forest View Drive, Genoa, IL 60135",42.091874,-88.697402,"DeKalb County"
"Indian Trails","1150 Briden Drive,","Marengo, IL",60152,"167","https://www.mhvillage.com/parks/11045","69","35","1150 Briden Drive, Marengo, IL 60152",42.2472844,-88.6227856,"McHenry County"
"Guerine Mobile Home Park","4700 Division Street,","Melrose Park, IL",60160,"347","https://www.mhvillage.com/parks/10404","77","39","4700 Division Street, Melrose Park, IL 60160",41.8998716,-87.8913357,"Cook County"
"Meadowcreek Mobile Home Park","4503 West Lake Street,","Melrose Park, IL",60160,"287","https://www.mhvillage.com/parks/10418","77","39","4503 West Lake Street, Melrose Park, IL 60160",41.8980624,-87.8875882,"Cook County"
"Edgebrook","1801 Dekalb Avenue,","Sycamore, IL",60178,"247","https://www.mhvillage.com/parks/10447","76","38","1801 Dekalb Avenue, Sycamore, IL 60178",41.970734,-88.718357,"DeKalb County"
"Wood Dale Estates","140 South Wood Dale Road,","Wood Dale, IL",60191,"97","https://www.mhvillage.com/parks/10477","48","24","140 South Wood Dale Road, Wood Dale, IL 60191",41.954537,-87.978855,"DuPage County"
"Pheasant Lake Estates","1 Pheasant Circle,","Beecher, IL",60401,"613","https://www.mhvillage.com/parks/87","29","15","1 Pheasant Circle, Beecher, IL 60401",41.3559651,-87.6123478,"Will County"
"Imperial MHP","106 East Jefferson Street,","Shorewood, IL",60404,"184","https://www.mhvillage.com/parks/36813","86","43","106 East Jefferson Street, Shorewood, IL 60404",41.5216351,-88.1973496,"Will County"
"AAA Mobile Home Park","2005 West 139th Street,","Blue Island, IL",60406,"105","https://www.mhvillage.com/parks/10342","30","15","2005 West 139th Street, Blue Island, IL 60406",41.6409835,-87.6698787,"Cook County"
"Sycamore Mobile Home Park","1750 W Broadway,","Blue Island, IL",60406,"86","https://www.mhvillage.com/parks/11682","28","14","1750 W Broadway, Blue Island, IL 60406",41.6536784,-87.6557573,"Cook County"
"Blue Island Mobile Home Park","13667 Western Avenue,","Blue Island, IL",60406,"Not found","https://www.mhvillage.com/parks/10344","28","14","13667 Western Avenue, Blue Island, IL 60406",41.644483,-87.679979,"Cook County"
"Modern Estates & Forest View Mobile Home Park","14001 Western Avenue,","Blue Island, IL",60406,"Not found","https://www.mhvillage.com/parks/10349","30","15","14001 Western Avenue, Blue Island, IL 60406",41.636921,-87.678369,"Cook County"
"Mourning Trailer Park","452 N Vernon Dr,","Godley, IL",60407,"Not found","https://www.mhvillage.com/parks/11568","106","53","452 N Vernon Dr, Godley, IL 60407",41.2424328,-88.2372432,"Will County"
"Dixon Mobile Home Park","177 N Center St,","Braidwood, IL",60408,"Not found","https://www.mhvillage.com/parks/11556","80","40","177 N Center St, Braidwood, IL 60408",41.2668385,-88.2172584,"Will County"
"Park Harbor Mobile Home Park","4 Oak Court,","Calumet City, IL",60409,"Not found","https://www.mhvillage.com/parks/10351","29","15","4 Oak Court, Calumet City, IL 60409",41.6308202,-87.5778116,"Cook County"
"Remington Woods","22500 S Remington Dr,","Channahon, IL",60410,"175","https://www.mhvillage.com/parks/42386","86","43","22500 S Remington Dr, Channahon, IL 60410",41.4740138,-88.1914646,"Will County"
"Alpine Village","450 Chillon Drive,","Lynwood, IL",60411,"677","https://www.mhvillage.com/parks/10365","34","17","450 Chillon Drive, Lynwood, IL 60411",41.5006037,-87.5282405,"Cook County"
"Weatherstone Lakes","21191 Torrence Avenue,","Sauk Village, IL",60411,"105","https://www.mhvillage.com/parks/37881","34","17","21191 Torrence Avenue, Sauk Village, IL 60411",41.5035799,-87.5580887,"Cook County"
"Candlelight Village","4 Candlelight Drive,","Sauk Village, IL",60411,"309","https://www.mhvillage.com/parks/10361","34","17","4 Candlelight Drive, Sauk Village, IL 60411",41.5020487,-87.5626231,"Cook County"
"Paradise Park","699 Michelle Drive,","Lynwood, IL",60411,"278","https://www.mhvillage.com/parks/57999","34","17","699 Michelle Drive, Lynwood, IL 60411",41.5068579,-87.5311144,"Cook County"
"Linway Estates","2836 East Lincoln Highway,","Chicago Heights, IL",60411,"300","https://www.mhvillage.com/parks/10362","80","40","2836 East Lincoln Highway, Chicago Heights, IL 60411",41.506181,-87.624216,"Cook County"
"Manson Mobile Home Park","3001 Forest Preserve Drive,","Chicago Heights, IL",60411,"Not found","https://www.mhvillage.com/parks/10363","79","40","3001 Forest Preserve Drive, Chicago Heights, IL 60411",41.481719,-87.654641,"Cook County"
"Burt Estates","300 N Daley Street,","Diamond, IL",60416,"242","https://www.mhvillage.com/parks/10549","106","53","300 N Daley Street, Diamond, IL 60416",41.290705,-88.253036,"Grundy County"
"Burt Estates","300 N Daley St,","Diamond, IL",60416,"Not found","https://www.mhvillage.com/parks/10550","106","53","300 N Daley St, Diamond, IL 60416",41.290705,-88.253036,"Grundy County"
"Queens Estates","1712 South Dixie Highway,","Crete, IL",60417,"148","https://www.mhvillage.com/parks/11561","80","40","1712 South Dixie Highway, Crete, IL 60417",41.4315408,-87.6305628,"Will County"
"Gianni Mobile Home Park","925 Main Street,","Crete, IL",60417,"Not found","https://www.mhvillage.com/parks/11560","80","40","925 Main Street, Crete, IL 60417",41.4589332,-87.6336299,"Will County"
"Creek Ridge","300 East Spencer Street,","Dwight, IL",60420,"97","https://www.mhvillage.com/parks/10851","106","53","300 East Spencer Street, Dwight, IL 60420",41.1010493,-88.4257876,"Livingston County"
"Dwight Mobile Home Park","401 West Williams Street,","Dwight, IL",60420,"Not found","https://www.mhvillage.com/parks/10852","106","53","401 West Williams Street, Dwight, IL 60420",41.087816,-88.437362,"Livingston County"
"Olsen Mobile Home Park","516 E Seminole St,","Dwight, IL",60420,"Not found","https://www.mhvillage.com/parks/10850","106","53","516 E Seminole St, Dwight, IL 60420",41.0954562,-88.4183007,"Livingston County"
"Shady Nook Mobile Home Park","314 S Saint Louis St,","Elwood, IL",60421,"80","https://www.mhvillage.com/parks/11565","86","43","314 S Saint Louis St, Elwood, IL 60421",41.401075,-88.107376,"Will County"
"Gateway Manufactured Home Community","22900 South Big Run Drive,","Frankfort, IL",60423,"442","https://www.mhvillage.com/parks/29546","38","19","22900 South Big Run Drive, Frankfort, IL 60423",41.4732656,-87.8766106,"Will County"
"Dixie Garden Homes, Inc","15000 Dixie Highway,","Harvey, IL",60426,"187","https://www.mhvillage.com/parks/10382","30","15","15000 Dixie Highway, Harvey, IL 60426",41.61704,-87.673186,"Cook County"
"Hazel Crest MHC","16902 Dixie Hwy,","Hazel Crest, IL",60429,"22","https://www.mhvillage.com/parks/106444","30","15","16902 Dixie Hwy, Hazel Crest, IL 60429",41.5825131,-87.6656268,"Cook County"
"Ely's Trailer Park","861 Ridge Road,","Homewood, IL",60430,"Not found","https://www.mhvillage.com/parks/10389","30","15","861 Ridge Road, Homewood, IL 60430",41.5622961,-87.638013,"Cook County"
"Modern Manor","1703 South Chicago Street,","Joliet, IL",60436,"40","https://www.mhvillage.com/parks/89","86","43","1703 South Chicago Street, Joliet, IL 60436",41.4941415,-88.0804006,"Will County"
"Peet's Mobile Home Park","1519 S Chicago St,","Joliet, IL",60436,"Not found","https://www.mhvillage.com/parks/11573","86","43","1519 S Chicago St, Joliet, IL 60436",41.4959338,-88.0804709,"Will County"
"Triangal Mh Park","15051 S Archer Ave,","Lockport, IL",60441,"Not found","https://www.mhvillage.com/parks/57834","85","43","15051 S Archer Ave, Lockport, IL 60441",41.6107804,-88.0423478,"Will County"
"Maple Brook","21635 Ridgeland Avenue,","Matteson, IL",60443,"440","https://www.mhvillage.com/parks/10401","38","19","21635 Ridgeland Avenue, Matteson, IL 60443",41.5172208,-87.7710094,"Cook County"
"Golf Vista Estates","4951 Augusta Blvd.,","Monee, IL",60449,"497","https://www.mhvillage.com/parks/11581","79","40","4951 Augusta Blvd., Monee, IL 60449",41.4210866,-87.732526,"Will County"
"Hildy Mobile Home Park","1215 Price St,","Morris, IL",60450,"Not found","https://www.mhvillage.com/parks/106920","75","38","1215 Price St, Morris, IL 60450",41.3674673,-88.417032,"Grundy County"
"Oak Forest","5110 159th Street,","Oak Forest, IL",60452,"70","https://www.mhvillage.com/parks/10409","30","15","5110 159th Street, Oak Forest, IL 60452",41.6031833,-87.7455078,"Cook County"
"Airway Manufactured Housing Community","9001 South Cicero Avenue,","Oak Lawn, IL",60453,"268","https://www.mhvillage.com/parks/10410","31","16","9001 South Cicero Avenue, Oak Lawn, IL 60453",41.729043,-87.740985,"Cook County"
"Rosebud","8800 South Harlem Avenue,","Bridgeview, IL",60455,"865","https://www.mhvillage.com/parks/11680","21","11","8800 South Harlem Avenue, Bridgeview, IL 60455",41.7437769,-87.7996121,"Cook County"
"Sterling Estates","9300 W. 79th St.,","Justice, IL",60458,"807","https://www.mhvillage.com/parks/10391","31","16","9300 W. 79th St., Justice, IL 60458",41.7475607,-87.8237126,"Cook County"
"Chief Mobile Home Park","8101 West 79th Street,","Justice, IL",60458,"165","https://www.mhvillage.com/parks/10390","31","16","8101 West 79th Street, Justice, IL 60458",41.747505,-87.821697,"Cook County"
"Riverside West Manufactured Homes","North Park Street,","Wilmington, IL",60481,"11","https://www.mhvillage.com/parks/126080","80","40","North Park Street, Wilmington, IL 60481",41.308209,-88.1496011,"Will County"
"Carter Mobile Home Park","North Park Street,","Wilmington, IL",60481,"Not found","https://www.mhvillage.com/parks/11584","80","40","North Park Street, Wilmington, IL 60481",41.308209,-88.1496011,"Will County"
"Shadow Lakes - Tully Monster Village","Coal City Rd,","Wilmington, IL",60481,"Not found","https://www.mhvillage.com/parks/127512","80","40","Coal City Rd, Wilmington, IL 60481",41.289987,-88.1834884,"Will County"
"Arrow Ridge Estates","11701 S Ridgeland Ave,","Worth, IL",60482,"93","https://www.mhvillage.com/parks/75081","35","18","11701 S Ridgeland Ave, Worth, IL 60482",41.677843,-87.778181,"Cook County"
"Water's Edge Estates","7240 West 107th Street,","Worth, IL",60482,"173","https://www.mhvillage.com/parks/10424","36","18","7240 West 107th Street, Worth, IL 60482",41.6981601,-87.7447529,"Cook County"
"Southwest Estates","10401 Southwest Highway,","Worth, IL",60482,"111","https://www.mhvillage.com/parks/10423","36","18","10401 Southwest Highway, Worth, IL 60482",41.7017032,-87.7915679,"Cook County"
"Margarets Hi-Acre","1100 Rural St,","Aurora, IL",60505,"100","https://www.mhvillage.com/parks/58112","50","25","1100 Rural St, Aurora, IL 60505",41.7699733,-88.2888185,"Kane County"
"Breazeale Trailer Park","1147 Rural Street,","Aurora, IL",60505,"Not found","https://www.mhvillage.com/parks/10676","50","25","1147 Rural Street, Aurora, IL 60505",41.7699862,-88.2877832,"Kane County"
"Margaret's Parkview Estates","800 Hill Avenue,","Aurora, IL",60505,"Not found","https://www.mhvillage.com/parks/10678","84","42","800 Hill Avenue, Aurora, IL 60505",41.740908,-88.287956,"Kane County"
"Patterson Mh Park","1220 Hinckley St,","Aurora, IL",60505,"Not found","https://www.mhvillage.com/parks/58111","83","42","1220 Hinckley St, Aurora, IL 60505",41.7327227,-88.309114,"Kane County"
"Oak Terrace Manufactured Home Community","42 Oak Terrace Court,","Batavia, IL",60510,"Not found","https://www.mhvillage.com/parks/10683","49","25","42 Oak Terrace Court, Batavia, IL 60510",41.8604598,-88.3073878,"Kane County"
"Earlville Mobile Home Park","4461 E 1251st Road,","Earlville, IL",60518,"31","https://www.mhvillage.com/parks/10741","74","37","4461 E 1251st Road, Earlville, IL 60518",41.5798074,-88.9208397,"LaSalle County"
"Country Club Woods","9800 Joliet Rd.,","Countryside, IL",60525,"310","https://www.mhvillage.com/parks/29162","8","4","9800 Joliet Rd., Countryside, IL 60525",41.7762527,-87.8733323,"Cook County"
"Weeping Willow Ranch MHC, LLC.","6801 S. La Grange Rd.,","Hodgkins, IL",60525,"182","https://www.mhvillage.com/parks/68350","8","4","6801 S. La Grange Rd., Hodgkins, IL 60525",41.7766312,-87.8680184,"Cook County"
"Valley Oaks","6208 Lawn Drive,","Hodgkins, IL",60525,"132","https://www.mhvillage.com/parks/11715","8","4","6208 Lawn Drive, Hodgkins, IL 60525",41.7750736,-87.8584818,"Cook County"
"La Grange Estates","6 Court Dr,","La Grange, IL",60525,"115","https://www.mhvillage.com/parks/11668","8","4","6 Court Dr, La Grange, IL 60525",41.7731262,-87.8781331,"Cook County"
"Parkview MHC","8783 Canary Lane,","Hodgkins, IL",60525,"165","https://www.mhvillage.com/parks/10386","21","11","8783 Canary Lane, Hodgkins, IL 60525",41.7722079,-87.8512159,"Cook County"
"Triangle Manufactured Home Community","1251 Lauren Drive,","Sandwich, IL",60548,"72","https://www.mhvillage.com/parks/10446","75","38","1251 Lauren Drive, Sandwich, IL 60548",41.6459707,-88.6394383,"DeKalb County"
"Sandwich Mobile Home Park","1027 East Railroad Street,","Sandwich, IL",60548,"Not found","https://www.mhvillage.com/parks/10445","75","38","1027 East Railroad Street, Sandwich, IL 60548",41.645994,-88.6089669,"DeKalb County"
"Leifheit Mh Park","435 S Elm St,","Waterman, IL",60556,"Not found","https://www.mhvillage.com/parks/57631","74","37","435 S Elm St, Waterman, IL 60556",41.764476,-88.7739241,"DeKalb County"
"Waterman Mobile Home Park","250 E Lincoln Highway,","Waterman, IL",60556,"Not found","https://www.mhvillage.com/parks/107252","76","38","250 E Lincoln Highway, Waterman, IL 60556",41.7691416,-88.7587337,"DeKalb County"
"Hide Away Lakes Mobile Home Park","8045 Van Emmon Road,","Yorkville, IL",60560,"Not found","https://www.mhvillage.com/parks/64590","75","38","8045 Van Emmon Road, Yorkville, IL 60560",41.6494531,-88.4123224,"Kendall County"
"Harbor Point Estates","4000 East 134th Street,","Chicago, IL",60633,"775","https://www.mhvillage.com/parks/28682","33","17","4000 East 134th Street, Chicago, IL 60633",41.6524893,-87.5293961,"Cook County"
"South East","401 136th Street,","Chicago, IL",60633,"Not found","https://www.mhvillage.com/parks/10354",NA,NA,"401 136th Street, Chicago, IL 60633",41.648688,-87.5210999,"Lake County"
"Oak Lane Mobile Home Park","11750 South Homan Avenue,","Merrionette Park, IL",60803,"223","https://www.mhvillage.com/parks/10359","35","18","11750 South Homan Avenue, Merrionette Park, IL 60803",41.6803441,-87.7054406,"Cook County"
"Century Mobile Home Park","12357 South Ashland Avenue,","Calumet Park, IL",60827,"Not found","https://www.mhvillage.com/parks/10355","28","14","12357 South Ashland Avenue, Calumet Park, IL 60827",41.6687955,-87.6609896,"Cook County"
"Kankakee Estates","1995 South Schuyler Avenue,","Kankakee, IL",60901,"168","https://www.mhvillage.com/parks/10704","79","40","1995 South Schuyler Avenue, Kankakee, IL 60901",41.1044466,-87.8686423,"Kankakee County"
"Tri-Star Estates","43 E 5000N Rd.,","Bourbonnais, IL",60914,"850","https://www.mhvillage.com/parks/10695","79","40","43 E 5000N Rd., Bourbonnais, IL 60914",41.1917959,-87.875438,"Kankakee County"
"Dehm Court","207 W Elm St,","Chatsworth, IL",60921,"Not found","https://www.mhvillage.com/parks/107038","106","53","207 W Elm St, Chatsworth, IL 60921",40.751688,-88.298616,"Livingston County"
"Carriage Lane Mobile Home Park","1104 N Lott Blvd,","Gibson City, IL",60936,"46","https://www.mhvillage.com/parks/10510","106","53","1104 N Lott Blvd, Gibson City, IL 60936",40.4778403,-88.3720628,"Ford County"
"Hunts Mh Park","601 Orange Street,","Hoopeston, IL",60942,"Not found","https://www.mhvillage.com/parks/57858","101","51","601 Orange Street, Hoopeston, IL 60942",40.458858,-87.678802,"Vermilion County"
"R&S Rentals","205 S Elm St,","Loda, IL",60948,"Not found","https://www.mhvillage.com/parks/106982","106","53","205 S Elm St, Loda, IL 60948",40.5141193,-88.0683063,"Iroquois County"
"Ludlow Mobile Home Park","Poplar Street,","Ludlow, IL",60949,"11","https://www.mhvillage.com/parks/10210","101","51","Poplar Street, Ludlow, IL 60949",40.3872075,-88.1235974,"Champaign County"
"Oak Ridge","1099 Oak Ridge Drive,","Manteno, IL",60950,"426","https://www.mhvillage.com/parks/39079","29","15","1099 Oak Ridge Drive, Manteno, IL 60950",41.241867,-87.823912,"Kankakee County"
"Maple Crest Manor","550 Birch Street,","Manteno, IL",60950,"109","https://www.mhvillage.com/parks/10711","29","15","550 Birch Street, Manteno, IL 60950",41.2536355,-87.8282504,"Kankakee County"
"Maple Valley","1 Silver Circle,","Manteno, IL",60950,"201","https://www.mhvillage.com/parks/10713","29","15","1 Silver Circle, Manteno, IL 60950",41.255479,-87.826694,"Kankakee County"
"Combs Mobile Home Park","434 W Pine St,","Paxton, IL",60957,"Not found","https://www.mhvillage.com/parks/57755","106","53","434 W Pine St, Paxton, IL 60957",40.465571,-88.1015752,"Ford County"
"Sugar Creek Mobile Home Community","1005 West Lafayette Street,","Watseka, IL",60970,"46","https://www.mhvillage.com/parks/10594","106","53","1005 West Lafayette Street, Watseka, IL 60970",40.7798686,-87.7490051,"Iroquois County"
"Greenview Estates","3901 Newburg Rd,","Belvidere, IL",61008,"355","https://www.mhvillage.com/parks/10164","68","34","3901 Newburg Rd, Belvidere, IL 61008",42.2545808,-88.8914282,"Boone County"
"The Four Seasons","700 Chrysler Drive,","Belvidere, IL",61008,"587","https://www.mhvillage.com/parks/11660","68","34","700 Chrysler Drive, Belvidere, IL 61008",42.2404144,-88.8483326,"Boone County"
"Bel-Bo Mobile Home Park","1211 West Locust Street,","Belvidere, IL",61008,"Not found","https://www.mhvillage.com/parks/10162","68","34","1211 West Locust Street, Belvidere, IL 61008",42.2531394,-88.860729,"Boone County"
"Park Meadowlands West Mhc","2630 Spring Creek Rd,","Belvidere, IL",61008,"Not found","https://www.mhvillage.com/parks/58082","69","35","2630 Spring Creek Rd, Belvidere, IL 61008",42.3002661,-88.8884672,"Boone County"
"Chateau Estates","1100 Carondelet Road,","Dixon, IL",61021,"160","https://www.mhvillage.com/parks/10839","74","37","1100 Carondelet Road, Dixon, IL 61021",41.834703,-89.461198,"Lee County"
"Shamrock Mobile Home Park","1351 Chicago Avenue,","Dixon, IL",61021,"16","https://www.mhvillage.com/parks/10843","74","37","1351 Chicago Avenue, Dixon, IL 61021",41.8317405,-89.462855,"Lee County"
"Spring Brook MHP LLC","601 N Ash,","Forreston, IL",61030,"31","https://www.mhvillage.com/parks/129581","89","45","601 N Ash, Forreston, IL 61030",42.1325165,-89.5815936,"Ogle County"
"Simlers Park","604 North Walnut Avenue,","Forreston, IL",61030,"35","https://www.mhvillage.com/parks/11126","89","45","604 North Walnut Avenue, Forreston, IL 61030",42.1322957,-89.5823454,"Ogle County"
"Candle Lite Mobile Home Park","Oak St,","Forreston, IL",61030,"Not found","https://www.mhvillage.com/parks/107022","89","45","Oak St, Forreston, IL 61030",42.126516,-89.5758202,"Ogle County"
"Timber Ridge MHP LLC","3998 Baileyville Road,","Freeport, IL",61032,"60","https://www.mhvillage.com/parks/11430","90","45","3998 Baileyville Road, Freeport, IL 61032",42.2739437,-89.6017003,"Stephenson County"
"Knollwood Estates Manufactured Home Community","100 Tanglewood Dr.,","Freeport, IL",61032,"300","https://www.mhvillage.com/parks/11426","90","45","100 Tanglewood Dr., Freeport, IL 61032",42.27497,-89.614999,"Stephenson County"
"Stephenson Manufactured Housing Community","6807 W. Stephenson St,","Freeport, IL",61032,"88","https://www.mhvillage.com/parks/11429","90","45","6807 W. Stephenson St, Freeport, IL 61032",42.2942135,-89.6513862,"Stephenson County"
"Woodridge Estates Manufactured Housing Community","2284 W. Galena Ave.,","Freeport, IL",61032,"215","https://www.mhvillage.com/parks/11432","90","45","2284 W. Galena Ave., Freeport, IL 61032",42.305737,-89.6551155,"Stephenson County"
"West Town Mobile Home Park","2044 West Galena Avenue,","Freeport, IL",61032,"55","https://www.mhvillage.com/parks/11431","90","45","2044 West Galena Avenue, Freeport, IL 61032",42.3039447,-89.6521419,"Stephenson County"
"Paradise Park","11122 Station Street,","Garden Prairie, IL",61038,"270","https://www.mhvillage.com/parks/105900","69","35","11122 Station Street, Garden Prairie, IL 61038",42.2542267,-88.7211657,"Boone County"
